user_id,media_id,rating,title
1,27205,8,Inception
1,157336,8,Interstellar
1,155,8,The Dark Knight
1,299536,8,Avengers: Infinity War
1,550,8,Fight Club
1,680,8,Pulp Fiction
1,13,9,Forrest Gump
1,278,9,The Shawshank Redemption
1,299534,8,Avengers: Endgame
1,120,8,The Lord of the Rings: The Fellowship of the Ring
2,27205,9,Inception
2,157336,8,Interstellar
2,155,8,The Dark Knight
2,299536,9,Avengers: Infinity War
2,550,8,Fight Club
2,680,8,Pulp Fiction
2,13,8,Forrest Gump
2,278,9,The Shawshank Redemption
2,299534,8,Avengers: Endgame
2,120,9,The Lord of the Rings: The Fellowship of the Ring
3,27205,9,Inception
3,157336,8,Interstellar
3,155,8,The Dark Knight
3,299536,9,Avengers: Infinity War
3,550,9,Fight Club
3,680,8,Pulp Fiction
3,13,8,Forrest Gump
3,278,10,The Shawshank Redemption
3,299534,8,Avengers: Endgame
3,120,8,The Lord of the Rings: The Fellowship of the Ring
4,27205,8,Inception
4,157336,8,Interstellar
4,155,8,The Dark Knight
4,299536,9,Avengers: Infinity War
4,550,9,Fight Club
4,680,8,Pulp Fiction
4,13,9,Forrest Gump
4,278,9,The Shawshank Redemption
4,299534,9,Avengers: Endgame
4,120,9,The Lord of the Rings: The Fellowship of the Ring
5,27205,8,Inception
5,157336,9,Interstellar
5,155,10,The Dark Knight
5,299536,9,Avengers: Infinity War
5,550,8,Fight Club
5,680,9,Pulp Fiction
5,13,9,Forrest Gump
5,278,8,The Shawshank Redemption
5,299534,8,Avengers: Endgame
5,120,8,The Lord of the Rings: The Fellowship of the Ring
6,27205,9,Inception
6,157336,8,Interstellar
6,155,9,The Dark Knight
6,299536,8,Avengers: Infinity War
6,550,8,Fight Club
6,680,8,Pulp Fiction
6,13,9,Forrest Gump
6,278,9,The Shawshank Redemption
6,299534,8,Avengers: Endgame
6,120,8,The Lord of the Rings: The Fellowship of the Ring
7,27205,8,Inception
7,157336,7,Interstellar
7,155,9,The Dark Knight
7,299536,8,Avengers: Infinity War
7,550,8,Fight Club
7,680,9,Pulp Fiction
7,13,9,Forrest Gump
7,278,9,The Shawshank Redemption
7,299534,8,Avengers: Endgame
7,120,9,The Lord of the Rings: The Fellowship of the Ring
8,27205,8,Inception
8,157336,7,Interstellar
8,155,9,The Dark Knight
8,299536,8,Avengers: Infinity War
8,550,9,Fight Club
8,680,9,Pulp Fiction
8,13,8,Forrest Gump
8,278,9,The Shawshank Redemption
8,299534,8,Avengers: Endgame
8,120,9,The Lord of the Rings: The Fellowship of the Ring
9,27205,9,Inception
9,157336,8,Interstellar
9,155,8,The Dark Knight
9,299536,8,Avengers: Infinity War
9,550,9,Fight Club
9,680,8,Pulp Fiction
9,13,8,Forrest Gump
9,278,8,The Shawshank Redemption
9,299534,8,Avengers: Endgame
9,120,9,The Lord of the Rings: The Fellowship of the Ring
10,27205,8,Inception
10,157336,9,Interstellar
10,155,8,The Dark Knight
10,299536,8,Avengers: Infinity War
10,550,8,Fight Club
10,680,8,Pulp Fiction
10,13,8,Forrest Gump
10,278,9,The Shawshank Redemption
10,299534,9,Avengers: Endgame
10,120,7,The Lord of the Rings: The Fellowship of the Ring
11,255709,8,Hope
11,550,8,Fight Club
11,1891,8,The Empire Strikes Back
11,447362,9,Life in a Year
11,299536,9,Avengers: Infinity War
11,424,9,Schindler's List
11,335,9,Once Upon a Time in the West
11,914,8,The Great Dictator
11,28,9,Apocalypse Now
11,378064,9,A Silent Voice: The Movie
11,19404,8,Dilwale Dulhania Le Jayenge
11,4935,9,Howl's Moving Castle
11,497,8,The Green Mile
11,274,8,The Silence of the Lambs
11,12493,7,High and Low
11,1585,9,It's a Wonderful Life
11,8587,8,The Lion King
11,527641,8,Five Feet Apart
11,128,8,Princess Mononoke
11,18491,8,Neon Genesis Evangelion: The End of Evangelion
12,110420,8,Wolf Children
12,25237,9,Come and See
12,13,8,Forrest Gump
12,122,8,The Lord of the Rings: The Return of the King
12,299534,8,Avengers: Endgame
12,19404,9,Dilwale Dulhania Le Jayenge
12,3782,8,Ikiru
12,508965,9,Klaus
12,1184918,8,The Wild Robot
12,105,8,Back to the Future
12,527641,8,Five Feet Apart
12,975,9,Paths of Glory
13,4935,9,Howl's Moving Castle
13,1891,8,The Empire Strikes Back
13,25237,8,Come and See
13,599,9,Sunset Boulevard
13,18491,8,Neon Genesis Evangelion: The End of Evangelion
13,424,8,Schindler's List
13,299534,7,Avengers: Endgame
13,447362,8,Life in a Year
13,490132,8,Green Book
13,510,9,One Flew Over the Cuckoo's Nest
13,429,9,"The Good, the Bad and the Ugly"
13,637,8,Life Is Beautiful
13,157336,9,Interstellar
13,497,9,The Green Mile
13,27205,8,Inception
14,10494,8,Perfect Blue
14,3082,8,Modern Times
14,429,9,"The Good, the Bad and the Ugly"
14,311,9,Once Upon a Time in America
14,10376,8,The Legend of 1900
14,157336,9,Interstellar
14,3782,9,Ikiru
14,77338,8,The Intouchables
14,630566,9,Clouds
14,238,9,The Godfather
14,372058,9,Your Name.
14,807,8,Se7en
14,27205,9,Inception
14,572154,8,Rascal Does Not Dream of a Dreaming Girl
14,696374,9,Gabriel's Inferno
14,346,9,Seven Samurai
14,92321,9,Hotarubi no Mori e
14,539,8,Psycho
14,389,9,12 Angry Men
14,637920,8,Miracle in Cell No. 7
15,299536,9,Avengers: Infinity War
15,508965,9,Klaus
15,238,9,The Godfather
15,10376,9,The Legend of 1900
15,27205,8,Inception
15,550,8,Fight Club
15,92321,9,Hotarubi no Mori e
15,807,9,Se7en
15,901,9,City Lights
15,1585,9,It's a Wonderful Life
15,129,8,Spirited Away
15,12477,8,Grave of the Fireflies
15,122,8,The Lord of the Rings: The Return of the King
15,510,8,One Flew Over the Cuckoo's Nest
15,761053,9,Gabriel's Inferno: Part III
15,569094,8,Spider-Man: Across the Spider-Verse
15,389,9,12 Angry Men
16,299536,9,Avengers: Infinity War
16,429,8,"The Good, the Bad and the Ugly"
16,12493,9,High and Low
16,680,9,Pulp Fiction
16,121,8,The Lord of the Rings: The Two Towers
16,110420,9,Wolf Children
16,378064,8,A Silent Voice: The Movie
16,4935,8,Howl's Moving Castle
16,550,9,Fight Club
16,28,9,Apocalypse Now
16,311,8,Once Upon a Time in America
16,598,9,City of God
16,335,8,Once Upon a Time in the West
16,496243,9,Parasite
16,670,9,Oldboy
16,92321,8,Hotarubi no Mori e
17,447362,9,Life in a Year
17,567,9,Rear Window
17,299536,7,Avengers: Infinity War
17,299534,8,Avengers: Endgame
17,335,7,Once Upon a Time in the West
17,569094,8,Spider-Man: Across the Spider-Verse
17,92321,8,Hotarubi no Mori e
17,389,9,12 Angry Men
17,283566,8,Evangelion: 3.0+1.0 Thrice Upon a Time
17,527641,8,Five Feet Apart
17,13,8,Forrest Gump
17,539,9,Psycho
17,424,8,Schindler's List
17,510,9,One Flew Over the Cuckoo's Nest
17,274,8,The Silence of the Lambs
17,12477,9,Grave of the Fireflies
17,73,8,American History X
17,550,8,Fight Club
17,1891,9,The Empire Strikes Back
18,769,8,GoodFellas
18,3782,9,Ikiru
18,240,8,The Godfather Part II
18,497,8,The Green Mile
18,128,8,Princess Mononoke
18,724089,8,Gabriel's Inferno: Part II
18,40096,9,A Dog's Will
18,105,8,Back to the Future
18,539,9,Psycho
18,8587,8,The Lion King
18,13,9,Forrest Gump
18,510,8,One Flew Over the Cuckoo's Nest
18,110420,8,Wolf Children
18,12477,9,Grave of the Fireflies
18,92321,8,Hotarubi no Mori e
18,77338,9,The Intouchables
18,644479,8,Dedicated to my ex
19,569094,8,Spider-Man: Across the Spider-Verse
19,311,9,Once Upon a Time in America
19,299534,7,Avengers: Endgame
19,567,9,Rear Window
19,761053,8,Gabriel's Inferno: Part III
19,324857,9,Spider-Man: Into the Spider-Verse
19,598,8,City of God
19,155,9,The Dark Knight
19,975,8,Paths of Glory
19,27205,9,Inception
19,1585,8,It's a Wonderful Life
19,92321,8,Hotarubi no Mori e
19,25237,7,Come and See
19,73,8,American History X
19,389,9,12 Angry Men
19,670,9,Oldboy
19,238,9,The Godfather
19,122,9,The Lord of the Rings: The Return of the King
19,424,9,Schindler's List
20,1184918,9,The Wild Robot
20,1084736,9,The Count of Monte-Cristo
20,807,9,Se7en
20,724089,9,Gabriel's Inferno: Part II
20,389,9,12 Angry Men
20,278,8,The Shawshank Redemption
20,299536,7,Avengers: Infinity War
20,510,8,One Flew Over the Cuckoo's Nest
20,110420,8,Wolf Children
20,255709,8,Hope
21,508965,9,Klaus
21,372058,9,Your Name.
21,598,9,City of God
21,155,9,The Dark Knight
21,299534,9,Avengers: Endgame
21,120,9,The Lord of the Rings: The Fellowship of the Ring
21,14537,9,Harakiri
21,129,9,Spirited Away
21,265177,8,Mommy
21,1184918,8,The Wild Robot
21,19404,9,Dilwale Dulhania Le Jayenge
21,105,8,Back to the Future
21,240,8,The Godfather Part II
21,101,9,Léon: The Professional
22,490132,8,Green Book
22,569094,9,Spider-Man: Across the Spider-Verse
22,25237,9,Come and See
22,157336,8,Interstellar
22,128,9,Princess Mononoke
22,807,9,Se7en
22,244786,9,Whiplash
22,496243,9,Parasite
22,283566,9,Evangelion: 3.0+1.0 Thrice Upon a Time
22,644479,8,Dedicated to my ex
22,914,9,The Great Dictator
22,539,8,Psycho
22,346,8,Seven Samurai
22,10376,9,The Legend of 1900
23,372058,8,Your Name.
23,278,9,The Shawshank Redemption
23,299536,9,Avengers: Infinity War
23,92321,7,Hotarubi no Mori e
23,346,8,Seven Samurai
23,630566,8,Clouds
23,14537,8,Harakiri
23,157336,9,Interstellar
23,429,8,"The Good, the Bad and the Ugly"
23,504253,8,I Want to Eat Your Pancreas
24,378064,8,A Silent Voice: The Movie
24,311,8,Once Upon a Time in America
24,274,8,The Silence of the Lambs
24,240,9,The Godfather Part II
24,101,8,Léon: The Professional
24,105,9,Back to the Future
24,12493,8,High and Low
24,637920,8,Miracle in Cell No. 7
24,11216,9,Cinema Paradiso
24,207,9,Dead Poets Society
24,497,8,The Green Mile
24,769,8,GoodFellas
25,14537,8,Harakiri
25,12493,9,High and Low
25,299534,8,Avengers: Endgame
25,378064,8,A Silent Voice: The Movie
25,10494,8,Perfect Blue
25,299536,7,Avengers: Infinity War
25,105,9,Back to the Future
25,155,8,The Dark Knight
25,1585,8,It's a Wonderful Life
25,761053,9,Gabriel's Inferno: Part III
25,122,9,The Lord of the Rings: The Return of the King
25,77338,8,The Intouchables
25,101,9,Léon: The Professional
25,42269,8,We All Loved Each Other So Much
25,255709,9,Hope
25,25237,8,Come and See
25,207,9,Dead Poets Society
26,572154,8,Rascal Does Not Dream of a Dreaming Girl
26,157336,9,Interstellar
26,424,8,Schindler's List
26,335,8,Once Upon a Time in the West
26,598,8,City of God
26,19404,8,Dilwale Dulhania Le Jayenge
26,637920,8,Miracle in Cell No. 7
26,14537,9,Harakiri
26,129,9,Spirited Away
26,975,8,Paths of Glory
26,1084736,8,The Count of Monte-Cristo
26,12477,8,Grave of the Fireflies
26,1891,8,The Empire Strikes Back
26,324857,8,Spider-Man: Into the Spider-Verse
26,3082,8,Modern Times
26,122,9,The Lord of the Rings: The Return of the King
26,311,8,Once Upon a Time in America
26,496243,8,Parasite
27,10494,9,Perfect Blue
27,4935,9,Howl's Moving Castle
27,1084736,9,The Count of Monte-Cristo
27,10376,8,The Legend of 1900
27,121,8,The Lord of the Rings: The Two Towers
27,372058,9,Your Name.
27,389,9,12 Angry Men
27,567,8,Rear Window
27,14537,8,Harakiri
27,299536,8,Avengers: Infinity War
27,3082,8,Modern Times
27,73,9,American History X
27,508965,8,Klaus
27,25237,8,Come and See
27,28,9,Apocalypse Now
27,19404,8,Dilwale Dulhania Le Jayenge
27,157336,9,Interstellar
27,1184918,8,The Wild Robot
27,490132,8,Green Book
27,1891,9,The Empire Strikes Back
28,278,8,The Shawshank Redemption
28,121,8,The Lord of the Rings: The Two Towers
28,1585,9,It's a Wonderful Life
28,724089,9,Gabriel's Inferno: Part II
28,539,8,Psycho
28,429,8,"The Good, the Bad and the Ugly"
28,324857,8,Spider-Man: Into the Spider-Verse
28,128,7,Princess Mononoke
28,42269,8,We All Loved Each Other So Much
28,28,7,Apocalypse Now
28,4935,8,Howl's Moving Castle
28,12493,9,High and Low
28,769,8,GoodFellas
28,975,7,Paths of Glory
29,11216,9,Cinema Paradiso
29,539,9,Psycho
29,155,8,The Dark Knight
29,10494,8,Perfect Blue
29,423,8,The Pianist
29,550,8,Fight Club
29,769,8,GoodFellas
29,724089,8,Gabriel's Inferno: Part II
29,128,9,Princess Mononoke
29,19404,8,Dilwale Dulhania Le Jayenge
29,567,8,Rear Window
29,4935,8,Howl's Moving Castle
29,497,8,The Green Mile
29,914,9,The Great Dictator
29,389,9,12 Angry Men
29,12477,8,Grave of the Fireflies
29,510,9,One Flew Over the Cuckoo's Nest
29,278,8,The Shawshank Redemption
30,1891,8,The Empire Strikes Back
30,807,8,Se7en
30,18491,8,Neon Genesis Evangelion: The End of Evangelion
30,73,9,American History X
30,761053,8,Gabriel's Inferno: Part III
30,995133,8,"The Boy, the Mole, the Fox and the Horse"
30,77338,8,The Intouchables
30,769,8,GoodFellas
30,265177,8,Mommy
30,121,8,The Lord of the Rings: The Two Towers
30,508965,9,Klaus
30,42269,8,We All Loved Each Other So Much
30,389,8,12 Angry Men
30,105,8,Back to the Future
30,598,8,City of God
30,12477,9,Grave of the Fireflies
31,447362,9,Life in a Year
31,550,9,Fight Club
31,121,8,The Lord of the Rings: The Two Towers
31,11216,8,Cinema Paradiso
31,1084736,8,The Count of Monte-Cristo
31,761053,8,Gabriel's Inferno: Part III
31,14537,8,Harakiri
31,40096,9,A Dog's Will
31,490132,9,Green Book
31,598,9,City of God
31,265177,8,Mommy
31,539,9,Psycho
31,389,8,12 Angry Men
31,496243,8,Parasite
31,630566,7,Clouds
31,10494,9,Perfect Blue
31,680,9,Pulp Fiction
31,3082,9,Modern Times
31,1184918,9,The Wild Robot
32,278,8,The Shawshank Redemption
32,630566,8,Clouds
32,274,9,The Silence of the Lambs
32,3082,8,Modern Times
32,8587,8,The Lion King
32,539,8,Psycho
32,680,8,Pulp Fiction
32,598,8,City of God
32,550,9,Fight Club
32,18491,9,Neon Genesis Evangelion: The End of Evangelion
32,299534,8,Avengers: Endgame
32,335,8,Once Upon a Time in the West
32,1084736,9,The Count of Monte-Cristo
32,27205,9,Inception
32,424,9,Schindler's List
32,299536,9,Avengers: Infinity War
32,696374,8,Gabriel's Inferno
32,110420,8,Wolf Children
32,311,8,Once Upon a Time in America
32,12493,9,High and Low
33,25237,8,Come and See
33,1585,9,It's a Wonderful Life
33,569094,9,Spider-Man: Across the Spider-Verse
33,680,9,Pulp Fiction
33,10376,8,The Legend of 1900
33,429,9,"The Good, the Bad and the Ugly"
33,598,8,City of God
33,28,9,Apocalypse Now
33,696374,8,Gabriel's Inferno
33,346,8,Seven Samurai
33,324857,8,Spider-Man: Into the Spider-Verse
33,378064,9,A Silent Voice: The Movie
33,1891,8,The Empire Strikes Back
33,769,8,GoodFellas
33,265177,9,Mommy
33,3782,8,Ikiru
33,10494,8,Perfect Blue
34,25237,7,Come and See
34,490132,7,Green Book
34,769,9,GoodFellas
34,105,8,Back to the Future
34,129,8,Spirited Away
34,637920,8,Miracle in Cell No. 7
34,238,9,The Godfather
34,724089,9,Gabriel's Inferno: Part II
34,378064,9,A Silent Voice: The Movie
34,155,8,The Dark Knight
34,1184918,9,The Wild Robot
34,914,9,The Great Dictator
34,807,8,Se7en
34,995133,9,"The Boy, the Mole, the Fox and the Horse"
35,12493,7,High and Low
35,10494,7,Perfect Blue
35,1585,8,It's a Wonderful Life
35,255709,8,Hope
35,424,8,Schindler's List
35,40096,8,A Dog's Will
35,724089,8,Gabriel's Inferno: Part II
35,447362,9,Life in a Year
35,18491,8,Neon Genesis Evangelion: The End of Evangelion
35,510,8,One Flew Over the Cuckoo's Nest
35,12477,9,Grave of the Fireflies
36,128,9,Princess Mononoke
36,92321,9,Hotarubi no Mori e
36,255709,9,Hope
36,447362,9,Life in a Year
36,914,8,The Great Dictator
36,637920,9,Miracle in Cell No. 7
36,28,9,Apocalypse Now
36,975,8,Paths of Glory
36,496243,9,Parasite
36,265177,8,Mommy
36,274,8,The Silence of the Lambs
36,599,8,Sunset Boulevard
36,550,8,Fight Club
36,630566,9,Clouds
36,424,10,Schindler's List
36,10494,8,Perfect Blue
36,807,8,Se7en
36,504253,9,I Want to Eat Your Pancreas
36,508965,8,Klaus
36,724089,8,Gabriel's Inferno: Part II
37,101,7,Léon: The Professional
37,696374,9,Gabriel's Inferno
37,42269,9,We All Loved Each Other So Much
37,4935,9,Howl's Moving Castle
37,3782,8,Ikiru
37,901,9,City Lights
37,424,9,Schindler's List
37,761053,8,Gabriel's Inferno: Part III
37,129,9,Spirited Away
37,670,8,Oldboy
37,10494,9,Perfect Blue
37,12477,9,Grave of the Fireflies
37,110420,9,Wolf Children
37,128,8,Princess Mononoke
38,569094,8,Spider-Man: Across the Spider-Verse
38,28,9,Apocalypse Now
38,77338,8,The Intouchables
38,8587,8,The Lion King
38,14537,9,Harakiri
38,128,7,Princess Mononoke
38,497,8,The Green Mile
38,761053,9,Gabriel's Inferno: Part III
38,680,9,Pulp Fiction
38,372058,8,Your Name.
38,539,7,Psycho
38,1891,8,The Empire Strikes Back
38,696374,8,Gabriel's Inferno
38,207,8,Dead Poets Society
38,129,9,Spirited Away
38,240,8,The Godfather Part II
38,429,10,"The Good, the Bad and the Ugly"
38,630566,8,Clouds
39,25237,8,Come and See
39,670,9,Oldboy
39,572154,8,Rascal Does Not Dream of a Dreaming Girl
39,1585,7,It's a Wonderful Life
39,105,9,Back to the Future
39,278,8,The Shawshank Redemption
39,3082,8,Modern Times
39,129,8,Spirited Away
39,914,7,The Great Dictator
39,696374,9,Gabriel's Inferno
40,630566,8,Clouds
40,680,8,Pulp Fiction
40,324857,8,Spider-Man: Into the Spider-Verse
40,10494,9,Perfect Blue
40,92321,9,Hotarubi no Mori e
40,299536,9,Avengers: Infinity War
40,311,9,Once Upon a Time in America
40,378064,8,A Silent Voice: The Movie
40,510,9,One Flew Over the Cuckoo's Nest
40,121,9,The Lord of the Rings: The Two Towers
40,995133,8,"The Boy, the Mole, the Fox and the Horse"
40,155,8,The Dark Knight
40,389,8,12 Angry Men
40,299534,8,Avengers: Endgame
41,769,9,GoodFellas
41,299534,8,Avengers: Endgame
41,599,8,Sunset Boulevard
41,508965,8,Klaus
41,1184918,9,The Wild Robot
41,92321,9,Hotarubi no Mori e
41,901,9,City Lights
41,335,8,Once Upon a Time in the West
41,255709,8,Hope
41,28,9,Apocalypse Now
41,429,9,"The Good, the Bad and the Ugly"
41,25237,8,Come and See
41,995133,7,"The Boy, the Mole, the Fox and the Horse"
41,240,9,The Godfather Part II
41,157336,8,Interstellar
41,527641,7,Five Feet Apart
41,207,7,Dead Poets Society
41,265177,9,Mommy
41,975,9,Paths of Glory
41,572154,8,Rascal Does Not Dream of a Dreaming Girl
42,207,9,Dead Poets Society
42,122,8,The Lord of the Rings: The Return of the King
42,73,9,American History X
42,995133,9,"The Boy, the Mole, the Fox and the Horse"
42,12493,7,High and Low
42,527641,9,Five Feet Apart
42,120,8,The Lord of the Rings: The Fellowship of the Ring
42,311,9,Once Upon a Time in America
42,283566,7,Evangelion: 3.0+1.0 Thrice Upon a Time
42,680,8,Pulp Fiction
42,914,8,The Great Dictator
42,335,9,Once Upon a Time in the West
42,10376,9,The Legend of 1900
42,696374,8,Gabriel's Inferno
43,278,8,The Shawshank Redemption
43,567,8,Rear Window
43,10376,7,The Legend of 1900
43,1891,8,The Empire Strikes Back
43,240,8,The Godfather Part II
43,975,8,Paths of Glory
43,1184918,8,The Wild Robot
43,497,8,The Green Mile
43,508965,8,Klaus
43,25237,8,Come and See
43,598,9,City of God
43,3082,9,Modern Times
43,630566,8,Clouds
43,527641,8,Five Feet Apart
43,12477,9,Grave of the Fireflies
43,92321,8,Hotarubi no Mori e
44,122,8,The Lord of the Rings: The Return of the King
44,265177,8,Mommy
44,644479,9,Dedicated to my ex
44,497,9,The Green Mile
44,914,8,The Great Dictator
44,299536,8,Avengers: Infinity War
44,207,8,Dead Poets Society
44,995133,9,"The Boy, the Mole, the Fox and the Horse"
44,92321,8,Hotarubi no Mori e
44,324857,9,Spider-Man: Into the Spider-Verse
44,335,7,Once Upon a Time in the West
45,73,7,American History X
45,10376,9,The Legend of 1900
45,240,8,The Godfather Part II
45,761053,9,Gabriel's Inferno: Part III
45,265177,8,Mommy
45,155,9,The Dark Knight
45,18491,9,Neon Genesis Evangelion: The End of Evangelion
45,539,8,Psycho
45,644479,8,Dedicated to my ex
45,11216,7,Cinema Paradiso
45,25237,8,Come and See
45,10494,7,Perfect Blue
45,423,8,The Pianist
45,696374,8,Gabriel's Inferno
45,278,9,The Shawshank Redemption
45,769,8,GoodFellas
46,10494,7,Perfect Blue
46,901,8,City Lights
46,3082,8,Modern Times
46,40096,8,A Dog's Will
46,77338,8,The Intouchables
46,496243,8,Parasite
46,550,8,Fight Club
46,255709,9,Hope
46,299536,8,Avengers: Infinity War
46,121,8,The Lord of the Rings: The Two Towers
46,975,8,Paths of Glory
46,240,8,The Godfather Part II
47,324857,9,Spider-Man: Into the Spider-Verse
47,129,9,Spirited Away
47,3782,9,Ikiru
47,10494,9,Perfect Blue
47,1585,8,It's a Wonderful Life
47,27205,8,Inception
47,508965,8,Klaus
47,995133,8,"The Boy, the Mole, the Fox and the Horse"
47,1084736,9,The Count of Monte-Cristo
47,120,9,The Lord of the Rings: The Fellowship of the Ring
47,914,8,The Great Dictator
47,490132,8,Green Book
47,496243,8,Parasite
47,644479,8,Dedicated to my ex
47,335,8,Once Upon a Time in the West
47,567,8,Rear Window
47,696374,8,Gabriel's Inferno
47,598,8,City of God
48,1084736,7,The Count of Monte-Cristo
48,378064,8,A Silent Voice: The Movie
48,122,9,The Lord of the Rings: The Return of the King
48,3782,7,Ikiru
48,121,9,The Lord of the Rings: The Two Towers
48,19404,8,Dilwale Dulhania Le Jayenge
48,995133,9,"The Boy, the Mole, the Fox and the Horse"
48,429,9,"The Good, the Bad and the Ugly"
48,278,8,The Shawshank Redemption
48,504253,8,I Want to Eat Your Pancreas
48,311,8,Once Upon a Time in America
48,550,9,Fight Club
48,265177,8,Mommy
48,510,8,One Flew Over the Cuckoo's Nest
48,101,8,Léon: The Professional
48,598,9,City of God
49,378064,9,A Silent Voice: The Movie
49,567,9,Rear Window
49,8587,8,The Lion King
49,14537,9,Harakiri
49,490132,7,Green Book
49,637920,9,Miracle in Cell No. 7
49,265177,8,Mommy
49,278,9,The Shawshank Redemption
49,77338,9,The Intouchables
49,155,8,The Dark Knight
49,447362,8,Life in a Year
49,598,9,City of God
49,120,8,The Lord of the Rings: The Fellowship of the Ring
49,807,9,Se7en
49,73,9,American History X
49,122,9,The Lord of the Rings: The Return of the King
49,299536,9,Avengers: Infinity War
49,424,8,Schindler's List
50,423,9,The Pianist
50,510,9,One Flew Over the Cuckoo's Nest
50,28,7,Apocalypse Now
50,121,9,The Lord of the Rings: The Two Towers
50,4935,9,Howl's Moving Castle
50,637,9,Life Is Beautiful
50,128,8,Princess Mononoke
50,10494,9,Perfect Blue
50,429,8,"The Good, the Bad and the Ugly"
50,914,9,The Great Dictator
50,110420,9,Wolf Children
51,13,8,Forrest Gump
51,769,9,GoodFellas
51,324857,9,Spider-Man: Into the Spider-Verse
51,12477,8,Grave of the Fireflies
51,372058,8,Your Name.
51,550,8,Fight Club
51,240,8,The Godfather Part II
51,77338,8,The Intouchables
51,914,8,The Great Dictator
51,680,8,Pulp Fiction
51,10494,8,Perfect Blue
51,497,9,The Green Mile
51,696374,8,Gabriel's Inferno
51,1084736,9,The Count of Monte-Cristo
52,807,8,Se7en
52,4935,8,Howl's Moving Castle
52,101,8,Léon: The Professional
52,496243,8,Parasite
